Module,Pattern,Role,Signal
csr_buffer,Leak,payload,csr_commit_i
csr_buffer,Leak,payload,csr_ready_o
csr_buffer,Leak,payload,csr_result_o
csr_buffer,Leak,payload,csr_valid_i
csr_buffer,Leak,payload,fu_data_i
csr_buffer,Leak,payload,fu_data_t
csr_buffer,Privilege,trigger,csr_addr_o
csr_buffer,Privilege,trigger,csr_commit_i
csr_buffer,Privilege,trigger,csr_ready_o
csr_buffer,Privilege,trigger,csr_result_o
csr_buffer,Privilege,trigger,csr_valid_i
csr_regfile,Availability,trigger,acc_fflags_ex_valid_i
csr_regfile,Availability,trigger,break_from_trigger_o
csr_regfile,Availability,trigger,csr_op_i
csr_regfile,Availability,trigger,debug_from_trigger_o
csr_regfile,Availability,trigger,debug_req_i
csr_regfile,Availability,trigger,fu_op
csr_regfile,Availability,trigger,store_result_i
csr_regfile,Availability,trigger,vaddr_from_lsu_i
csr_regfile,Availability,payload,acc_fflags_ex_valid_i
csr_regfile,Availability,payload,commit_ack_i
csr_regfile,Covert,trigger,perf_data_i
csr_regfile,Covert,trigger,perf_data_o
csr_regfile,Covert,payload,acc_fflags_ex_valid_i
csr_regfile,Covert,payload,perf_data_i
csr_regfile,Covert,payload,perf_data_o
csr_regfile,Covert,payload,store_result_i
csr_regfile,DoS,trigger,acc_cons_en_o
csr_regfile,DoS,trigger,acc_fflags_ex_valid_i
csr_regfile,DoS,trigger,break_from_trigger_o
csr_regfile,DoS,trigger,dcache_en_o
csr_regfile,DoS,trigger,debug_from_trigger_o
csr_regfile,DoS,trigger,debug_req_i
csr_regfile,DoS,trigger,en_g_translation_o
csr_regfile,DoS,trigger,en_ld_st_g_translation_o
csr_regfile,DoS,trigger,en_ld_st_translation_o
csr_regfile,DoS,trigger,en_translation_o
csr_regfile,DoS,trigger,icache_en_o
csr_regfile,DoS,trigger,perf_we_o
csr_regfile,DoS,payload,acc_cons_en_o
csr_regfile,DoS,payload,acc_fflags_ex_valid_i
